980,1707,9,Beef - Prime Rib Aaa
948,3493,8,"Lobster - Tail, 3 - 4 Oz"
601,33,6,Beer - Muskoka Cream Ale
945,6094,8,Peppercorns - Pink
591,9772,4,Filter - Coffee
857,2134,3,"Pasta - Rotini, Dry"
361,2272,8,Broom - Corn
707,6949,1,Sauce - Salsa
635,3532,4,"Pasta - Cappellini, Dry"
120,9739,9,Flower - Potmums
225,6948,7,Wine - Riesling Dr. Pauly
944,3327,8,"Veal - Inside, Choice"
581,5567,2,Chocolate - Dark
550,6013,7,Pastry - Trippleberry Muffin - Mini
575,9419,2,"Napkin - Cocktail,beige 2 - Ply"
494,1076,9,Water - Aquafina Vitamin
911,8309,5,Snapple Raspberry Tea
499,3316,3,Beef - Top Butt Aaa
659,6496,4,Sproutsmustard Cress
431,2695,9,Wine - Casillero Deldiablo
249,9979,4,Sauce - Marinara
749,2298,6,Artichokes - Jerusalem
692,5516,6,"Pasta - Lasagne, Fresh"
370,1500,5,Chicken - Whole Roasting
936,8596,8,Pork - Backs - Boneless
180,289,1,Cheese - Goat With Herbs
306,1364,3,Island Oasis - Lemonade
541,1659,2,Dates
370,1628,3,English Muffin
789,3587,9,Pate - Cognac
664,1581,5,Numi - Assorted Teas
291,9596,1,Wine - Prem Select Charddonany
853,1722,3,Pastry - Banana Tea Loaf
691,7994,4,Goat - Whole Cut
55,2832,7,Cookie Double Choco
244,4554,1,Cranberries - Fresh
540,9944,8,Clams - Bay
92,267,10,Fiddlehead - Frozen
673,949,3,Beer - Corona
596,5606,10,Cheese - Marble
131,6471,3,"Salmon - Whole, 4 - 6 Pounds"
583,8993,10,"Nut - Chestnuts, Whole"
499,4007,2,Pasta - Agnolotti - Butternut
851,3547,4,"Potatoes - Instant, Mashed"
793,91,2,"Hickory Smoke, Liquid"
358,9511,6,Kellogs All Bran Bars
265,7563,4,Wine - Tribal Sauvignon
207,7432,2,Veal - Bones
777,4227,10,"Beans - Black Bean, Preserved"
77,5064,1,Wine - Toasted Head
616,3845,3,Temperature Recording Station
591,427,2,Tart - Pecan Butter Squares
341,6783,6,"Nut - Walnut, Chopped"
366,3359,8,Toothpick Frilled
185,7686,7,Sherbet - Raspberry
417,4939,2,Pork - Bones
942,9765,4,"Flour - Bran, Red"
719,9849,9,"Bread - Crumbs, Bulk"
15,8073,9,Lobster - Base
953,6180,1,Salmon - Sockeye Raw
832,7641,10,"Nut - Pecan, Halves"
417,2655,6,Wine - Sauvignon Blanc Oyster
949,3387,5,"Lid - High Heat, Super Clear"
279,2263,7,Gatorade - Fruit Punch
498,281,4,Tofu - Soft
881,7872,9,Mudslide
526,3251,6,Pepper - Pablano
833,7772,3,Raisin - Dark
585,7378,4,Wine - Maipo Valle Cabernet
626,7446,8,Sauce - Alfredo
293,4561,5,Godiva White Chocolate
488,7403,4,Beef - Tenderloin - Aa
870,9113,9,Cookies - Fortune
227,4521,5,"Wine - White, Pelee Island"
480,2978,7,Ice Cream Bar - Rolo Cone
142,9976,2,"Tart Shells - Sweet, 4"
889,5112,2,"Lamb - Shoulder, Boneless"
77,4050,6,"Yogurt - Strawberry, 175 Gr"
76,3724,1,Nori Sea Weed
65,7393,6,"Nut - Chestnuts, Whole"
712,5633,7,Appetizer - Seafood Assortment
598,1390,10,"Syrup - Golden, Lyles"
863,6495,6,Currants
739,9238,3,Cake - Dulce De Leche
443,9563,3,"Beef - Rib Roast, Cap On"
615,6531,8,Bowl 12 Oz - Showcase 92012
829,3681,4,Parsley - Fresh
117,3715,5,Soup - Campbells Tomato Ravioli
149,4328,4,Cup - Translucent 7 Oz Clear
686,8486,5,Towel Dispenser
629,1057,2,Pate Pans Yellow
216,7913,5,"Shrimp - 21/25, Peel And Deviened"
353,1569,3,Crab Brie In Phyllo
927,6057,3,"Soup - Campbells, Butternut"
356,7015,1,Lid Tray - 12in Dome
971,7829,1,Fiddlehead - Frozen
303,8136,6,Container - Clear 16 Oz
29,9581,2,Bouillion - Fish
584,7923,3,Pur Value
706,2297,5,Glycerine
283,5971,4,Chicken Breast Wing On
833,3221,10,Compound - Mocha
911,2765,9,Liqueur - Melon
102,4244,10,Pastry - Plain Baked Croissant
915,7365,3,Wine - Jaboulet Cotes Du Rhone
210,3857,8,Aspic - Light
188,8456,10,Wine - Cabernet Sauvignon
537,7634,5,Bread - Burger
367,1759,4,"Oil - Shortening,liqud, Fry"
77,9278,3,Gelatine Powder
41,2267,8,Island Oasis - Strawberry
964,3306,10,Cake - Night And Day Choclate
571,3607,4,Appetizer - Assorted Box
387,5482,1,Versatainer Nc - 8288
57,4468,3,Ham - Virginia
960,7264,9,"Red Snapper - Fillet, Skin On"
736,7047,9,"Cod - Salted, Boneless"
433,8588,2,Lemons
682,6575,6,Scallops - 20/30
246,5459,10,Spice - Paprika
530,9711,8,Sauce - Demi Glace
785,4602,3,Bread Ww Cluster
187,3060,9,Liqueur - Melon
62,3631,7,Cheese - Asiago
817,81,1,Potatoes - Fingerling 4 Oz
358,3141,1,Anchovy Paste - 56 G Tube
745,1163,1,Beer - Blue Light
643,7478,1,"Tart Shells - Sweet, 3"
109,8868,1,Dip - Tapenade
593,2505,10,"Stock - Beef, White"
360,916,2,"Coconut - Shredded, Sweet"
949,7211,1,Transfer Sheets
969,5385,2,Wine - German Riesling
926,2179,2,Sambuca - Ramazzotti
746,4878,5,Pie Pecan
952,9155,3,Urban Zen Drinks
